Year,Quarter,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,ProvisionGroupDesc,ProvisionDesc,ProvisionValue,ProvisionAltValue,DataType,Enacted_Date,Effective_Date,GeoLocation,ProvisionGroupID,ProvisionID
2014,3,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Bars,Restrictions,Type of Restriction in Bar (Summary),Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",10GRP,234
2019,4,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Patron Area,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",15GRP,233
2023,1,OH,Ohio,Legislation - Smokefree Indoor Air,Restaurants,Restrictions,Type of Restriction in Restaurant (Summary),Banned,4,Ranking,2006-11-07,2006-12-07,"(40.06021014100048, -82.40426005599966)",10GRP,37
2023,1,VA,Virginia,Legislation - Smokefree Indoor Air,Government Worksites,Restrictions,Type of Restriction in Government Worksite,Designated Areas,3,Ranking,2009-03-09,2009-12-01,"(37.54268067400045, -78.45789046299967)",10GRP,1
2023,1,NY,New York,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Bingo Halls,Banned,4,Ranking,2003-03-26,2003-07-24,"(42.82700103200045, -75.54397042699964)",15GRP,337
2021,3,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Patron Area,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",15GRP,235
2001,4,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Mental Health - Outpatient Facilities,Designated Smoking Area,0,Ranking,1993-08-03,1994-01-30,"(18.220833, -66.590149)",15GRP,340
2018,1,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Private Multi-Unit Housing,Restrictions,Type of Restriction in Lobby and Common Area of Private Multi-Unit Housing,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",10GRP,125
2022,4,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Substance Use - Outpatient Facilities,Designated Smoking Area,0,Ranking,1993-08-03,1994-01-30,"(18.220833, -66.590149)",15GRP,338
2011,2,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Commercial Day Care Centers,Restrictions,Type of Restriction in Commercial Day Care,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",10GRP,50
2010,1,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Employee Area,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",15GRP,236
2023,1,CT,Connecticut,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Substance Use - Residential Facilities,Banned,4,Ranking,2021-06-22,2021-10-01,"(41.56266102000046, -72.64984095199964)",15GRP,339
2017,3,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",15GRP,100
2019,1,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Private Multi-Unit Housing,Restrictions,Type of Restriction in Lobby and Common Area of Private Multi-Unit Housing,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",10GRP,125
2023,1,PA,Pennsylvania,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Grocery Stores,Banned,4,Ranking,2008-06-13,2008-09-11,"(40.79373015200048, -77.86070029399963)",15GRP,97
2020,4,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Hotels and Motels,Restrictions,Type of Restriction in Lobby and Common Area of Hotel and Motel,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",10GRP,81
2023,1,SD,South Dakota,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Banned,4,Ranking,2010-11-02,2010-11-10,"(44.353130053000484, -100.3735306369997)",15GRP,100
2023,1,GA,Georgia,Legislation - Smokefree Indoor Air,Hotels and Motels,Additional Requirements,Sleeping Room Designation (Type),Smoking Room,3,Ranking,2005-05-09,2005-07-01,"(32.83968109300048, -83.62758034599966)",20GRP,83
2021,4,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Government Worksites,Vehicles,Type of Restriction in Government Worksite Vehicle,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",30GRP,17
2008,2,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",15GRP,232
2011,4,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Mental Health - Residential Facilities,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",15GRP,341
2023,1,ND,North Dakota,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Patron Area,Banned,4,Ranking,2005-04-25,2005-08-01,"(47.47531977900047, -100.11842104899966)",15GRP,233
2004,4,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Designated Smoking Area,0,Ranking,1993-08-03,1994-01-30,"(18.220833, -66.590149)",15GRP,100
2023,1,CA,California,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Vehicles,Type of Restriction in Home-Based Day Care Vehicle,Banned,4,Ranking,2016-05-04,2017-01-01,"(37.63864012300047, -120.99999953799971)",30GRP,77
2015,1,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Banned,4,Ranking,1993-08-03,1994-01-30,"(18.220833, -66.590149)",15GRP,99
2011,2,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Private Multi-Unit Housing,Restrictions,Type of Restriction in Lobby and Common Area of Private Multi-Unit Housing,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",10GRP,125
2017,3,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Personal Vehicles,Restrictions,Type of Restriction in Personal Vehicle,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",10GRP,102
1999,4,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Commercial Day Care Centers,Restrictions,Type of Restriction in Commercial Day Care,Designated Smoking Area,0,Ranking,1993-08-03,1994-01-30,"(18.220833, -66.590149)",10GRP,50
2017,2,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",10GRP,65
2022,2,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Personal Vehicles,Restrictions,Type of Restriction in Personal Vehicle,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",10GRP,102
2023,1,PA,Pennsylvania,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Banned,4,Ranking,2008-06-13,2008-09-11,"(40.79373015200048, -77.86070029399963)",15GRP,232
2012,1,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Prisons,Designated Smoking Area,0,Ranking,1993-08-03,1994-01-30,"(18.220833, -66.590149)",15GRP,101
2008,3,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Substance Use - Residential Facilities,Designated Smoking Area,0,Ranking,1993-08-03,1994-01-30,"(18.220833, -66.590149)",15GRP,339
2020,1,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Casinos,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",15GRP,335
2016,4,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",15GRP,232
2020,2,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Mental Health - Outpatient Facilities,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",15GRP,340
2008,4,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",15GRP,100
2015,4,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Personal Vehicles,Restrictions,Type of Restriction in Personal Vehicle,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",10GRP,102
2021,2,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Private Multi-Unit Housing,Restrictions,Type of Restriction in Lobby and Common Area of Private Multi-Unit Housing,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",10GRP,125
2015,2,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Bar Area,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",15GRP,231
2009,4,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Mental Health - Outpatient Facilities,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",15GRP,340
2018,3,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Employee Area,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",15GRP,236
1996,4,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Mental Health - Outpatient Facilities,Designated Smoking Area,0,Ranking,1993-08-03,1994-01-30,"(18.220833, -66.590149)",15GRP,340
2023,1,IA,Iowa,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Banned,4,Ranking,2008-04-15,2008-07-01,"(42.46940091300047, -93.81649055599968)",15GRP,100
2023,1,AS,American Samoa,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,2010-10-21,2011-01-19,"(-14.3016396, -170.69618149999997)",10GRP,65
2023,1,CA,California,Legislation - Smokefree Indoor Air,Government Worksites,Restrictions,Type of Restriction in Government Worksite,Banned,4,Ranking,2016-05-04,2016-06-09,"(37.63864012300047, -120.99999953799971)",10GRP,1
2018,2,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Personal Vehicles,Restrictions,Type of Restriction in Personal Vehicle,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",10GRP,102
2009,3,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Employee Area,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",15GRP,236
2010,4,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Casinos,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",15GRP,335
2018,4,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Patron Area,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",15GRP,235
2019,4,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Casinos,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",15GRP,335
2019,4,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Restaurants,Restrictions,Type of Restriction in Restaurant (Summary),Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",10GRP,37
2023,1,WI,Wisconsin,Legislation - Smokefree Indoor Air,Hotels and Motels,Restrictions,Type of Restriction in Lobby and Common Area of Hotel and Motel,Banned,4,Ranking,2009-05-18,2010-07-05,"(44.39319117400049, -89.81637074199966)",10GRP,81
2015,3,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Casinos,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",15GRP,335
