Row_Index,Column,Original_Value,New_Value
0,Enacted_Date,02/03/2006,2006-03-02
0,Effective_Date,02/03/2007,2007-03-02
1,Enacted_Date,02/03/2006,2006-03-02
1,Effective_Date,02/03/2007,2007-03-02
2,Enacted_Date,07/11/2006,2006-11-07
2,Effective_Date,07/12/2006,2006-12-07
3,Enacted_Date,09/03/2009,2009-03-09
3,Effective_Date,01/12/2009,2009-12-01
4,Enacted_Date,26/03/2003,2003-03-26
4,Effective_Date,24/07/2003,2003-07-24
5,Enacted_Date,02/03/2006,2006-03-02
5,Effective_Date,02/03/2007,2007-03-02
6,Enacted_Date,03/08/1993,1993-08-03
6,Effective_Date,30/01/1994,1994-01-30
7,Enacted_Date,02/03/2006,2006-03-02
7,Effective_Date,02/03/2007,2007-03-02
8,Enacted_Date,03/08/1993,1993-08-03
8,Effective_Date,30/01/1994,1994-01-30
9,Enacted_Date,02/03/2006,2006-03-02
9,Effective_Date,02/03/2007,2007-03-02
10,Enacted_Date,02/03/2006,2006-03-02
10,Effective_Date,02/03/2007,2007-03-02
11,Enacted_Date,22/06/2021,2021-06-22
11,Effective_Date,01/10/2021,2021-10-01
12,Enacted_Date,02/03/2006,2006-03-02
12,Effective_Date,02/03/2007,2007-03-02
13,Enacted_Date,02/03/2006,2006-03-02
13,Effective_Date,02/03/2007,2007-03-02
14,Enacted_Date,13/06/2008,2008-06-13
14,Effective_Date,11/09/2008,2008-09-11
15,Enacted_Date,02/03/2006,2006-03-02
15,Effective_Date,02/03/2007,2007-03-02
16,Enacted_Date,02/11/2010,2010-11-02
16,Effective_Date,10/11/2010,2010-11-10
17,Enacted_Date,09/05/2005,2005-05-09
17,Effective_Date,01/07/2005,2005-07-01
18,Enacted_Date,02/03/2006,2006-03-02
18,Effective_Date,02/03/2007,2007-03-02
19,Enacted_Date,02/03/2006,2006-03-02
19,Effective_Date,02/03/2007,2007-03-02
20,Enacted_Date,02/03/2006,2006-03-02
20,Effective_Date,02/03/2007,2007-03-02
21,Enacted_Date,25/04/2005,2005-04-25
21,Effective_Date,01/08/2005,2005-08-01
22,Enacted_Date,03/08/1993,1993-08-03
22,Effective_Date,30/01/1994,1994-01-30
23,Enacted_Date,04/05/2016,2016-05-04
23,Effective_Date,01/01/2017,2017-01-01
24,Enacted_Date,03/08/1993,1993-08-03
24,Effective_Date,30/01/1994,1994-01-30
25,Enacted_Date,02/03/2006,2006-03-02
25,Effective_Date,02/03/2007,2007-03-02
26,Enacted_Date,02/03/2006,2006-03-02
26,Effective_Date,02/03/2007,2007-03-02
27,Enacted_Date,03/08/1993,1993-08-03
27,Effective_Date,30/01/1994,1994-01-30
28,Enacted_Date,02/03/2006,2006-03-02
28,Effective_Date,02/03/2007,2007-03-02
29,Enacted_Date,02/03/2006,2006-03-02
29,Effective_Date,02/03/2007,2007-03-02
30,Enacted_Date,13/06/2008,2008-06-13
30,Effective_Date,11/09/2008,2008-09-11
31,Enacted_Date,03/08/1993,1993-08-03
31,Effective_Date,30/01/1994,1994-01-30
32,Enacted_Date,03/08/1993,1993-08-03
32,Effective_Date,30/01/1994,1994-01-30
33,Enacted_Date,02/03/2006,2006-03-02
33,Effective_Date,02/03/2007,2007-03-02
34,Enacted_Date,02/03/2006,2006-03-02
34,Effective_Date,02/03/2007,2007-03-02
35,Enacted_Date,02/03/2006,2006-03-02
35,Effective_Date,02/03/2007,2007-03-02
36,Enacted_Date,02/03/2006,2006-03-02
36,Effective_Date,02/03/2007,2007-03-02
37,Enacted_Date,02/03/2006,2006-03-02
37,Effective_Date,02/03/2007,2007-03-02
38,Enacted_Date,02/03/2006,2006-03-02
38,Effective_Date,02/03/2007,2007-03-02
39,Enacted_Date,02/03/2006,2006-03-02
39,Effective_Date,02/03/2007,2007-03-02
40,Enacted_Date,02/03/2006,2006-03-02
40,Effective_Date,02/03/2007,2007-03-02
41,Enacted_Date,02/03/2006,2006-03-02
41,Effective_Date,02/03/2007,2007-03-02
42,Enacted_Date,03/08/1993,1993-08-03
42,Effective_Date,30/01/1994,1994-01-30
43,Enacted_Date,15/04/2008,2008-04-15
43,Effective_Date,01/07/2008,2008-07-01
44,Enacted_Date,21/10/2010,2010-10-21
44,Effective_Date,19/01/2011,2011-01-19
45,Enacted_Date,04/05/2016,2016-05-04
45,Effective_Date,09/06/2016,2016-06-09
46,Enacted_Date,02/03/2006,2006-03-02
46,Effective_Date,02/03/2007,2007-03-02
47,Enacted_Date,02/03/2006,2006-03-02
47,Effective_Date,02/03/2007,2007-03-02
48,Enacted_Date,02/03/2006,2006-03-02
48,Effective_Date,02/03/2007,2007-03-02
49,Enacted_Date,02/03/2006,2006-03-02
49,Effective_Date,02/03/2007,2007-03-02
