LocationAbbr,Enacted_Date,Year
MN,1975-06-02,1975
OR,1977-07-26,1977
NV,1977-05-05,1977
ND,1977-03-31,1977
NE,1979-05-21,1979
DC,1979-01-01,1979
WI,1984-04-18,1984
FL,1985-06-19,1985
NM,1985-04-01,1985
NJ,1985-12-18,1985
MT,1985-04-16,1985
RI,1986-06-27,1986
IA,1987-06-08,1987
KS,1987-04-14,1987
OK,1987-06-24,1987
MA,1988-01-14,1988
WA,1988-08-29,1988
PA,1988-12-21,1988
NY,1989-07-05,1989
NH,1990-04-27,1990
VA,1990-04-18,1990
IL,1990-01-09,1990
SC,1990-05-30,1990
AZ,1991-06-25,1991
MO,1992-06-11,1992
MI,1992-03-18,1992
LA,1992-07-14,1992
SD,1992-08-28,1992
ID,1992-01-07,1992
VT,1993-05-28,1993
OH,1993-01-08,1993
CA,1993-10-11,1993
UT,1994-03-22,1994
DE,1994-06-28,1994
MS,2000-05-20,2000
AL,2003-06-19,2003
TN,2006-06-12,2006
CO,2006-03-27,2006
AR,2006-04-07,2006
MD,2007-05-17,2007
NC,2007-07-08,2007
ME,2009-06-08,2009
IN,2012-03-19,2012
CT,2021-06-22,2021
