LocationAbbr,Enacted_Date,Year
MN,1975-06-02,1975
NE,1979-05-21,1979
MT,1979-03-29,1979
WI,1984-04-18,1984
FL,1985-06-19,1985
NJ,1985-06-12,1985
RI,1986-06-27,1986
VT,1987-06-03,1987
IA,1987-06-08,1987
PA,1988-12-21,1988
NY,1989-07-05,1989
NH,1990-04-27,1990
IL,1990-01-01,1990
DC,1991-05-02,1991
LA,1992-07-14,1992
MO,1992-06-11,1992
DE,1994-06-28,1994
UT,1994-03-22,1994
SD,2002-02-22,2002
AL,2003-06-19,2003
OK,2003-06-06,2003
MA,2004-06-18,2004
ID,2004-04-02,2004
WA,2005-11-08,2005
ND,2005-04-25,2005
GA,2005-04-08,2005
OH,2006-11-07,2006
NV,2006-11-07,2006
CO,2006-03-27,2006
AR,2006-04-07,2006
AZ,2006-11-07,2006
OR,2007-06-26,2007
MD,2007-05-17,2007
TN,2007-06-11,2007
NM,2007-03-13,2007
MI,2009-12-18,2009
ME,2009-06-08,2009
KS,2010-03-12,2010
IN,2012-03-19,2012
CA,2016-05-04,2016
CT,2021-06-22,2021
