LocationAbbr,Enacted_Date,Year
AZ,1973-05-04,1973
SD,1974-02-22,1974
NV,1975-05-05,1975
TX,1975-05-23,1975
MN,1975-06-02,1975
MI,1976-03-11,1976
OH,1976-05-30,1976
ND,1977-03-31,1977
OR,1977-06-02,1977
PA,1977-12-01,1977
CO,1977-07-01,1977
AR,1977-03-24,1977
RI,1977-05-17,1977
DC,1979-07-09,1979
NE,1979-05-21,1979
MT,1979-03-29,1979
NJ,1981-12-31,1981
WI,1984-04-18,1984
WA,1985-05-10,1985
WV,1985-04-13,1985
FL,1985-06-19,1985
ID,1985-03-11,1985
OK,1987-06-24,1987
IA,1987-06-08,1987
KS,1987-04-14,1987
MA,1988-01-14,1988
ME,1989-10-16,1989
NY,1989-07-05,1989
VA,1990-04-18,1990
IL,1990-01-09,1990
NH,1990-04-27,1990
SC,1990-05-30,1990
LA,1992-07-13,1992
MO,1992-06-11,1992
VT,1993-05-28,1993
DE,1994-06-28,1994
UT,1994-03-22,1994
TN,1995-06-12,1995
IN,1996-02-13,1996
GA,1998-04-14,1998
CT,1999-01-01,1999
AL,2003-06-19,2003
CA,2004-09-27,2004
NC,2005-09-08,2005
NM,2007-03-13,2007
MD,2007-05-17,2007
