Year,Quarter,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,ProvisionGroupDesc,ProvisionDesc,ProvisionValue,ProvisionAltValue,DataType,Enacted_Date,Effective_Date,GeoLocation,ProvisionGroupID,ProvisionID,Time_Lag,Negative_Lag,Copied_From_Neighbor,Total_Neighbors,No_Neighbors_Already_Implemented,Neighbor_Adoption_Rate,Neighbors_Already_Implemented,Neighbor_Who_Implemented_First,Adoption_Lag,Copy_Confidence_Score
1995,4,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Government Worksites,Restrictions,Type of Restriction in Government Worksite,Designated Smoking Area,0,Ranking,1993-08-03,1994-01-30,"(18.220833, -66.590149)",10GRP,1,180,False,False,0,0,,[],,,0.0
1995,4,UT,Utah,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,1994-03-22,1995-01-01,"(39.360700171000474, -111.58713063499971)",10GRP,65,285,False,False,5,0,0.0,[],,,0.0
1995,4,KS,Kansas,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Enclosed Arenas,Designated Areas,3,Ranking,1987-04-14,1987-07-01,"(38.34774030000045, -98.20078122699965)",15GRP,98,78,False,True,4,2,0.5,"['Nebraska', 'Colorado']",Nebraska,3574.0,0.4375
1995,4,OR,Oregon,Legislation - Smokefree Indoor Air,Restaurants,Restrictions,Type of Restriction in Restaurant (Summary),Designated Areas,3,Ranking,1981-01-01,1981-12-31,"(44.56744942400047, -120.15503132599969)",10GRP,37,364,False,False,4,0,0.0,[],,,0.0
1995,4,MI,Michigan,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Designated Areas,3,Ranking,1986-07-15,1986-07-15,"(44.6613195430005, -84.71439026999968)",15GRP,99,0,False,False,3,2,0.6666666666666666,"['Wisconsin', 'Ohio']",Wisconsin,3698.0,0.5833333333333333
1995,4,MO,Missouri,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Patron Area,Designated Areas,3,Ranking,1992-06-11,1992-12-31,"(38.635790776000476, -92.56630005299968)",15GRP,233,203,False,False,7,4,0.5714285714285714,"['Iowa', 'Illinois', 'Kansas', 'Nebraska']",Iowa,4910.0,0.4999999999999999
1995,4,MO,Missouri,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Bar Area,Designated Areas,3,Ranking,1992-06-11,1992-12-31,"(38.635790776000476, -92.56630005299968)",15GRP,231,203,False,False,7,4,0.5714285714285714,"['Iowa', 'Illinois', 'Kansas', 'Nebraska']",Iowa,4910.0,0.4999999999999999
1995,4,ME,Maine,Legislation - Smokefree Indoor Air,Hotels and Motels,Restrictions,Type of Restriction in Lobby and Common Area of Hotel and Motel,Designated Areas,3,Ranking,1993-06-15,1994-01-01,"(45.254228894000505, -68.98503133599962)",10GRP,81,200,False,True,1,1,1.0,['New Hampshire'],New Hampshire,1145.0,0.7
1995,4,NY,New York,Legislation - Smokefree Indoor Air,Commercial Day Care Centers,Restrictions,Type of Restriction in Commercial Day Care,Banned,4,Ranking,1994-07-26,1994-08-25,"(42.82700103200045, -75.54397042699964)",10GRP,50,30,False,False,5,0,0.0,[],,,0.0
1995,4,KS,Kansas,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Designated Areas,3,Ranking,1987-07-01,1987-12-31,"(38.34774030000045, -98.20078122699965)",15GRP,232,183,False,False,4,1,0.25,['Nebraska'],Nebraska,3103.0,0.21875
1995,4,RI,Rhode Island,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Designated Areas,3,Ranking,1977-01-01,1977-12-31,"(41.70828019300046, -71.52247031399963)",15GRP,232,364,False,False,2,0,0.0,[],,,0.0
1995,4,UT,Utah,Legislation - Smokefree Indoor Air,Commercial Day Care Centers,Restrictions,Type of Restriction in Commercial Day Care,Banned,4,Ranking,1994-03-22,1995-01-01,"(39.360700171000474, -111.58713063499971)",10GRP,50,285,False,False,5,0,0.0,[],,,0.0
1995,4,ME,Maine,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Malls,Designated Areas,3,Ranking,1993-06-15,1994-01-01,"(45.254228894000505, -68.98503133599962)",15GRP,96,200,False,True,1,1,1.0,['New Hampshire'],New Hampshire,1145.0,0.7
1995,4,UT,Utah,Legislation - Smokefree Indoor Air,Government Worksites,Restrictions,Type of Restriction in Government Worksite,Banned,4,Ranking,1994-03-22,1995-01-01,"(39.360700171000474, -111.58713063499971)",10GRP,1,285,False,False,5,1,0.2,['Idaho'],Idaho,805.0,0.175
1995,4,UT,Utah,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Bar Area,Banned,4,Ranking,1994-03-22,1995-01-01,"(39.360700171000474, -111.58713063499971)",15GRP,231,285,False,False,5,0,0.0,[],,,0.0
1995,4,RI,Rhode Island,Legislation - Smokefree Indoor Air,Restaurants,Restrictions,Type of Restriction in Restaurant (Summary),Designated Areas,3,Ranking,1977-01-01,1977-12-31,"(41.70828019300046, -71.52247031399963)",10GRP,37,364,False,False,2,0,0.0,[],,,0.0
1995,4,WA,Washington,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Designated Areas,3,Ranking,1985-05-10,1995-07-28,"(47.52227862900048, -120.47001078999972)",15GRP,100,3731,False,True,2,2,1.0,"['Idaho', 'Oregon']",Idaho,2899.0,0.7
1995,4,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Designated Areas,3,Ranking,1979-05-21,1980-01-01,"(41.6410409880005, -99.36572062299967)",15GRP,99,225,False,True,5,2,0.4,"['South Dakota', 'Colorado']",South Dakota,1914.0,0.35
1995,4,MD,Maryland,Legislation - Smokefree Indoor Air,Hotels and Motels,Additional Requirements,Sleeping Room Designation (Type),Smoking Room,3,Ranking,1995-04-27,1995-04-27,"(39.29058096400047, -76.60926011099963)",20GRP,83,0,False,False,5,0,0.0,[],,,0.0
1995,4,GA,Georgia,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,1994-04-01,1994-07-01,"(32.83968109300048, -83.62758034599966)",10GRP,65,91,False,False,5,1,0.2,['South Carolina'],South Carolina,31.0,0.4622602739726027
1995,4,SD,South Dakota,Legislation - Smokefree Indoor Air,Commercial Day Care Centers,Restrictions,Type of Restriction in Commercial Day Care,Designated Areas,3,Ranking,1994-03-11,1994-07-01,"(44.353130053000484, -100.3735306369997)",10GRP,50,112,False,False,5,0,0.0,[],,,0.0
1995,4,IL,Illinois,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Bar Area,Designated Areas,3,Ranking,1990-01-01,1990-07-01,"(40.48501028300046, -88.99771017799969)",15GRP,231,181,False,False,4,1,0.25,['Wisconsin'],Wisconsin,2557.0,0.21875
1995,4,IL,Illinois,Legislation - Smokefree Indoor Air,Hotels and Motels,Additional Requirements,Sleeping Room Designation (Type),Smoking Room,3,Ranking,1990-01-01,1990-07-01,"(40.48501028300046, -88.99771017799969)",20GRP,83,181,False,False,4,0,0.0,[],,,0.0
1995,4,MI,Michigan,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Prisons,Designated Areas,3,Ranking,1992-03-18,1992-06-15,"(44.6613195430005, -84.71439026999968)",15GRP,101,89,False,False,3,0,0.0,[],,,0.0
