State,Times_First_Implemented,Avg_Adoption_Lag
Minnesota,48,1551.6458333333333
South Dakota,37,1643.7837837837837
New York,25,1641.16
Idaho,19,920.8947368421053
Nebraska,17,1942.4117647058824
Delaware,17,1384.8823529411766
District of Columbia,15,1812.0
Arkansas,13,308.53846153846155
Wisconsin,12,1137.0
Michigan,12,2111.0833333333335
North Dakota,11,2136.5454545454545
Oregon,11,3245.6363636363635
Massachusetts,11,386.6363636363636
Nevada,9,904.0
New Hampshire,8,1935.875
Kansas,7,2509.4285714285716
Montana,7,2738.714285714286
Connecticut,7,408.14285714285717
Pennsylvania,6,2325.5
Rhode Island,5,871.2
Virginia,5,1071.2
Arizona,5,353.2
New Jersey,5,2173.8
Iowa,4,2090.0
Colorado,3,337.0
Georgia,3,2724.0
Maryland,3,2389.0
Florida,2,708.5
Maine,2,1456.0
Missouri,2,1404.0
Ohio,2,1959.0
Utah,1,236.0
Alabama,1,10.0
Vermont,1,1059.0
Tennessee,1,1471.0
