Year,Quarter,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,ProvisionGroupDesc,ProvisionDesc,ProvisionValue,ProvisionAltValue,DataType,Enacted_Date,Effective_Date,GeoLocation,ProvisionGroupID,ProvisionID,Time_Lag,Negative_Lag
1995,4,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Government Worksites,Restrictions,Type of Restriction in Government Worksite,Designated Smoking Area,0,Ranking,1993-08-03,1994-01-30,"(18.220833, -66.590149)",10GRP,1,180,False
1995,4,UT,Utah,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,1994-03-22,1995-01-01,"(39.360700171000474, -111.58713063499971)",10GRP,65,285,False
1995,4,KS,Kansas,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Enclosed Arenas,Designated Areas,3,Ranking,1987-04-14,1987-07-01,"(38.34774030000045, -98.20078122699965)",15GRP,98,78,False
1995,4,OR,Oregon,Legislation - Smokefree Indoor Air,Restaurants,Restrictions,Type of Restriction in Restaurant (Summary),Designated Areas,3,Ranking,1981-01-01,1981-12-31,"(44.56744942400047, -120.15503132599969)",10GRP,37,364,False
1995,4,MI,Michigan,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Designated Areas,3,Ranking,1986-07-15,1986-07-15,"(44.6613195430005, -84.71439026999968)",15GRP,99,0,False
1995,4,MO,Missouri,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Patron Area,Designated Areas,3,Ranking,1992-06-11,1992-12-31,"(38.635790776000476, -92.56630005299968)",15GRP,233,203,False
1995,4,MO,Missouri,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Bar Area,Designated Areas,3,Ranking,1992-06-11,1992-12-31,"(38.635790776000476, -92.56630005299968)",15GRP,231,203,False
1995,4,ME,Maine,Legislation - Smokefree Indoor Air,Hotels and Motels,Restrictions,Type of Restriction in Lobby and Common Area of Hotel and Motel,Designated Areas,3,Ranking,1993-06-15,1994-01-01,"(45.254228894000505, -68.98503133599962)",10GRP,81,200,False
1995,4,NY,New York,Legislation - Smokefree Indoor Air,Commercial Day Care Centers,Restrictions,Type of Restriction in Commercial Day Care,Banned,4,Ranking,1994-07-26,1994-08-25,"(42.82700103200045, -75.54397042699964)",10GRP,50,30,False
1995,4,KS,Kansas,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Designated Areas,3,Ranking,1987-07-01,1987-12-31,"(38.34774030000045, -98.20078122699965)",15GRP,232,183,False
